room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
3752840,19208105,Private room,yongsan-dong  2(i)-ga,0,,2,1,56,1,37.543102,126.986439
14238880,10911165,Private room,yongsan-dong  2(i)-ga,0,,2,1,66,2,37.544341,126.985546
12500557,5570380,Private room,yongsan-dong  2(i)-ga,1,,1,1,33,1,37.545561,126.980113
7439921,38976391,Private room,Itaewon-dong,1,,2,1,56,1,37.540991,126.990573
13020462,71885779,Private room,Itaewon-dong,0,,2,1,67,1,37.54066,126.989706
10937531,34245186,Private room,Chungmuro 2(i)-ga,3,4.5,2,1,79,1,37.562195,126.987079
10457892,16069632,Private room,Namsan-dong 3(sam)-ga,2,,2,1,50,1,37.560375,126.987006
10457850,16069632,Private room,Namsan-dong 2(i)-ga,1,,2,1,50,1,37.558586,126.98687
7207111,33082644,Private room,Chungmuro 2(i)-ga,0,,1,1,52,1,37.562273,126.985702
13416511,76439720,Private room,Chungmuro 2(i)-ga,4,4.5,2,1,42,,37.56167,126.985244
10457952,16069632,Private room,Namsan-dong 2(i)-ga,3,4.5,1,1,36,1,37.559982,126.985675
13363577,22307322,Private room,Namsan-dong 2(i)-ga,0,,2,1,62,4,37.558091,126.985251
10061074,51628054,Private room,Hoehyeon-dong 1(il)-ga,2,,1,1,42,1,37.557203,126.984492
9943853,51032616,Private room,Namsan-dong 2(i)-ga,0,,3,1,89,1,37.559131,126.985384
14827075,92368906,Private room,Hoehyeon-dong 1(il)-ga,0,,2,1,79,1,37.556014,126.98179
10210591,16069632,Private room,Hoehyeon-dong 2(i)-ga,0,,2,1,36,1,37.556657,126.983381
9927772,51032616,Private room,Namsan-dong 2(i)-ga,0,,2,1,66,2,37.559564,126.985132
13962688,76439720,Private room,Myeong-dong 2(i)-ga,0,,2,1,42,1,37.561743,126.98378
9302328,5070323,Private room,Bukchang-dong,0,,1,1,24,1,37.561859,126.977957
14327947,82048866,Private room,Hoehyeon-dong 3(sam)-ga,0,,4,1,131,1,37.559768,126.984221
6357205,33117967,Private room,Hoehyeon-dong 1(il)-ga,0,,3,1,40,1,37.557271,126.982237
954028,5181261,Private room,Hoehyeon-dong 1(il)-ga,2,,1,1,37,1,37.556952,126.980579
10501981,54147632,Private room,Chungmuro 1(il)-ga,1,,2,1,79,1,37.561309,126.983007
9551365,24714093,Private room,Hoehyeon-dong 1(il)-ga,0,,2,1,56,1,37.557071,126.98091
9301756,5070323,Private room,Namdaemunno 3(sam)-ga,0,,1,1,24,2,37.560442,126.977888
9551294,24714093,Private room,Hoehyeon-dong 1(il)-ga,0,,2,1,66,1,37.557526,126.979875
9302361,5070323,Private room,Namchang-dong,0,,1,1,24,1,37.56032,126.978721
4795745,24714093,Private room,Hoehyeon-dong 1(il)-ga,3,5,2,1,66,1,37.558987,126.979153
1169386,6403262,Private room,Chungmuro 1(il)-ga,5,4.5,2,1,60,1,37.560222,126.981048
6529440,15446737,Private room,Hoehyeon-dong 1(il)-ga,1,,4,1,66,1,37.55921,126.981334
9929751,51032616,Private room,Yejang-dong,0,,2,1,66,2,37.557878,126.985674
14017359,76439720,Private room,Chungmuro 2(i)-ga,2,,1,1,37,1,37.561703,126.985266
13888664,17062437,Private room,Hoehyeon-dong 1(il)-ga,0,,2,1,52,,37.55779,126.980368
13866691,17062437,Private room,Hoehyeon-dong 1(il)-ga,0,,4,1,89,,37.557289,126.980487
10552263,24714093,Private room,Hoehyeon-dong 1(il)-ga,1,,2,1,46,1,37.558776,126.979873
13851812,17062437,Private room,Hoehyeon-dong 1(il)-ga,2,,2,1,52,,37.559046,126.98116
3415969,6493510,Private room,Yejang-dong,0,,4,1,94,1,37.555514,126.994361
14761984,92057677,Private room,Chungmuro 2(i)-ga,0,,2,1,75,1,37.56248,126.990309
13336508,75517751,Private room,Chungmuro 2(i)-ga,0,,2,1,37,1,37.561402,126.989472
1678507,6493510,Private room,Yejang-dong,0,,5,1,131,1,37.555698,126.993841
1678462,6493510,Private room,Pildong 2(i)-ga,0,,4,1,103,1,37.55598,126.993774
6662236,7708621,Private room,Bongnae-dong 2(i)-ga,6,3.5,2,1,41,1,37.55865,126.97005
8211954,42958231,Private room,Dongja-dong,9,5,2,1,42,1,37.552387,126.973126
7310085,37954578,Private room,Malli-dong 1(il)-ga,1,,4,1,76,1,37.556156,126.965758
15103839,79959810,Private room,Malli-dong 1(il)-ga,0,,2,1,42,1,37.556228,126.966085
11000197,57082321,Private room,Namdaemunno 5(o)-ga,6,4.5,2,1,56,1,37.554066,126.974036
8122847,41974491,Private room,Hap-dong,0,,2,1,56,1,37.56075,126.965378
15103748,79959810,Private room,Malli-dong 1(il)-ga,0,,1,1,33,1,37.556624,126.966243
11233754,58412761,Private room,Seogye-dong,0,,1,1,42,1,37.553608,126.965757
12372183,66839130,Private room,Umyeon-dong,0,,4,1,46,1,37.473121,127.028301
12191578,65532906,Private room,Seocho-dong,0,,3,1,103,1,37.482576,127.03384
